,STATION,DOW,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
0,1 AV,Friday Afternoon,50414399359,38546810896,145916.0,143674.0,289590.0
1,1 AV,Friday Morning,52795392740,41042818351,59543.0,70333.0,129876.0
2,1 AV,Monday Afternoon,53246531078,47078946475,116890.0,117685.0,234575.0
3,1 AV,Monday Morning,53246284582,47078680760,37367.0,49037.0,86404.0
4,1 AV,Saturday Afternoon,53688915613,47513627567,96324.0,103179.0,199503.0
5,1 AV,Saturday Morning,53245524141,47077869704,17882.0,17307.0,35189.0
6,1 AV,Sunday Afternoon,53246108490,47078484262,76004.0,87523.0,163527.0
7,1 AV,Sunday Morning,53245952595,47078314157,45225.0,50078.0,95303.0
8,1 AV,Thursday Afternoon,52946165220,43055264450,153517.0,148740.0,302257.0
9,1 AV,Thursday Morning,52794753452,41042160158,56724.0,67406.0,124130.0
10,1 AV,Tuesday Afternoon,53247078791,47079514605,149135.0,148265.0,297400.0
11,1 AV,Tuesday Morning,55019948959,48821707190,45674.0,57910.0,103584.0
12,1 AV,Wednesday Afternoon,53096616096,45067377702,150851.0,145209.0,296060.0
13,1 AV,Wednesday Morning,57179248018,49582162267,58384.0,69462.0,127846.0
14,1 AVE,Friday Afternoon,12630533375,13183392360,55670.0,54074.0,109744.0
15,1 AVE,Friday Morning,13594880455,14215370209,22258.0,25096.0,47354.0
16,1 AVE,Monday Afternoon,12629626709,13182468010,53268.0,52576.0,105844.0
17,1 AVE,Monday Morning,12629510014,13182347169,15194.0,20421.0,35615.0
18,1 AVE,Saturday Afternoon,12629277658,13182086758,39584.0,40044.0,79628.0
19,1 AVE,Saturday Morning,12629195537,13182004845,7698.0,7378.0,15076.0
20,1 AVE,Sunday Afternoon,12629441632,13182263954,31278.0,34169.0,65447.0
21,1 AVE,Sunday Morning,12629375428,13182194344,19985.0,22781.0,42766.0
22,1 AVE,Thursday Afternoon,12630302377,13183158339,54586.0,51925.0,106511.0
23,1 AVE,Thursday Morning,13069080948,13615735542,21081.0,24791.0,45872.0
24,1 AVE,Tuesday Afternoon,12629845237,13182695106,55110.0,54647.0,109757.0
25,1 AVE,Tuesday Morning,13594231241,14214729002,18429.0,22129.0,40558.0
26,1 AVE,Wednesday Afternoon,12630073701,13182927647,55807.0,52732.0,108539.0
27,1 AVE,Wednesday Morning,12629951434,13182804682,20869.0,23557.0,44426.0
28,103 ST,Friday Afternoon,4843397470,15260291830,251505.0,175760.0,427265.0
29,103 ST,Friday Morning,5073697312,16396991779,125545.0,89748.0,215293.0
30,103 ST,Monday Afternoon,5129184865,16932064323,222798.0,165204.0,388002.0
31,103 ST,Monday Morning,5184905240,16962535851,94343.0,60592.0,154935.0
32,103 ST,Saturday Afternoon,5127782852,16931096021,177277.0,113867.0,291144.0
33,103 ST,Saturday Morning,5127432596,16930906313,27420.0,21460.0,48880.0
34,103 ST,Sunday Afternoon,5477007889,20154694494,143266.0,97528.0,240794.0
35,103 ST,Sunday Morning,5156741696,16942172917,45538.0,47356.0,92894.0
36,103 ST,Thursday Afternoon,4954539534,15320861824,258785.0,182753.0,441538.0
37,103 ST,Thursday Morning,5282104337,17528073732,128142.0,88209.0,216351.0
38,103 ST,Tuesday Afternoon,5118846221,16927852852,266125.0,195335.0,461460.0
39,103 ST,Tuesday Morning,5153451951,16953951339,118726.0,75116.0,193842.0
40,103 ST,Wednesday Afternoon,4953418314,15320080764,257865.0,184129.0,441994.0
41,103 ST,Wednesday Morning,6395212640,27254441650,124103.0,81040.0,205143.0
42,103 ST-CORONA,Friday Afternoon,2457100840,2347390806,141684.0,116059.0,257743.0
43,103 ST-CORONA,Friday Morning,2392806347,2286372071,107069.0,61188.0,168257.0
44,103 ST-CORONA,Monday Afternoon,2390350506,2284486512,128076.0,107621.0,235697.0
45,103 ST-CORONA,Monday Morning,2389915233,2284293008,88866.0,42696.0,131562.0
46,103 ST-CORONA,Saturday Afternoon,2389303856,2283704965,111645.0,87885.0,199530.0
47,103 ST-CORONA,Saturday Morning,2388977909,2283524826,43193.0,23581.0,66774.0
48,103 ST-CORONA,Sunday Afternoon,2386424610,2283116608,97620.0,69126.0,166746.0
49,103 ST-CORONA,Sunday Morning,2389467568,2283954047,37375.0,53734.0,91109.0
50,103 ST-CORONA,Thursday Afternoon,2392561717,2286051792,139720.0,116283.0,256003.0
51,103 ST-CORONA,Thursday Morning,2392067621,2285841586,106427.0,59776.0,166203.0
52,103 ST-CORONA,Tuesday Afternoon,2391078036,2284984189,140410.0,119777.0,260187.0
53,103 ST-CORONA,Tuesday Morning,2380619102,2277407333,103749.0,52844.0,156593.0
54,103 ST-CORONA,Wednesday Afternoon,2391822985,2285518082,140801.0,120180.0,260981.0
55,103 ST-CORONA,Wednesday Morning,2391322246,2285302308,107937.0,57860.0,165797.0
56,104 ST,Friday Afternoon,130798642786,89950267725,23874.0,14698.0,38572.0
57,104 ST,Friday Morning,132622803591,92484970662,20192.0,6254.0,26446.0
58,104 ST,Monday Afternoon,140265301100,97562773845,22276.0,13916.0,36192.0
59,104 ST,Monday Morning,140269567251,97567412086,16748.0,4079.0,20827.0
60,104 ST,Saturday Afternoon,140269503348,97567377909,15963.0,8151.0,24114.0
61,104 ST,Saturday Morning,140269470040,97567367026,5705.0,1900.0,7605.0
62,104 ST,Sunday Afternoon,140269544894,97567400545,12451.0,6198.0,18649.0
63,104 ST,Sunday Morning,140269520439,97567392062,5476.0,4308.0,9784.0
64,104 ST,Thursday Afternoon,130798547872,89950225594,23711.0,14780.0,38491.0
65,104 ST,Thursday Morning,133955608220,92489318437,20352.0,5999.0,26351.0
66,104 ST,Tuesday Afternoon,140269726585,97567468779,24866.0,16264.0,41130.0
67,104 ST,Tuesday Morning,140269656270,97567450250,21680.0,5360.0,27040.0
68,104 ST,Wednesday Afternoon,140269828136,97567512466,25473.0,15934.0,41407.0
69,104 ST,Wednesday Morning,140269757771,97567494579,21447.0,6072.0,27519.0
70,110 ST,Friday Afternoon,1120641853,1082542315,122555.0,84082.0,206637.0
71,110 ST,Friday Morning,1144658900,1127676842,38660.0,38679.0,77339.0
72,110 ST,Monday Afternoon,1118745096,1081113118,101105.0,71308.0,172413.0
73,110 ST,Monday Morning,1129184316,1101273178,30862.0,28117.0,58979.0
74,110 ST,Saturday Afternoon,1133032424,1085508980,86934.0,57360.0,144294.0
75,110 ST,Saturday Morning,1117918267,1080501834,11906.0,12243.0,24149.0
76,110 ST,Sunday Afternoon,1118385119,1080848396,57545.0,42410.0,99955.0
77,110 ST,Sunday Morning,1118253238,1080757800,22672.0,26929.0,49601.0
78,110 ST,Thursday Afternoon,1120161812,1082173684,120068.0,82367.0,202435.0
79,110 ST,Thursday Morning,1119859229,1081992791,37983.0,37704.0,75687.0
80,110 ST,Tuesday Afternoon,1131294122,1104011816,119486.0,81898.0,201384.0
81,110 ST,Tuesday Morning,1153811678,1146747885,37696.0,35353.0,73049.0
82,110 ST,Wednesday Afternoon,1119686386,1081814608,122190.0,81231.0,203421.0
83,110 ST,Wednesday Morning,1155696025,1149367081,40516.0,39332.0,79848.0
84,110 ST-CATHEDRL,Friday Afternoon,350989855,106479817,30217.0,14032.0,44249.0
85,110 ST-CATHEDRL,Friday Morning,350914361,106445836,11885.0,6649.0,18534.0
86,110 ST-CATHEDRL,Monday Afternoon,350485226,106222615,27594.0,14416.0,42010.0
87,110 ST-CATHEDRL,Monday Morning,350413572,106188776,10877.0,5316.0,16193.0
88,110 ST-CATHEDRL,Saturday Afternoon,350333149,106145792,15180.0,6475.0,21655.0
89,110 ST-CATHEDRL,Saturday Morning,350300086,106131203,1610.0,1200.0,2810.0
90,110 ST-CATHEDRL,Sunday Afternoon,345154724,104288641,13188.0,6491.0,19679.0
91,110 ST-CATHEDRL,Sunday Morning,350357628,106159798,3756.0,2847.0,6603.0
92,110 ST-CATHEDRL,Thursday Afternoon,350863946,106416718,30040.0,14363.0,44403.0
93,110 ST-CATHEDRL,Thursday Morning,389711043,118218335,12822.0,8438.0,21260.0
94,110 ST-CATHEDRL,Tuesday Afternoon,350608569,106286973,29001.0,15173.0,44174.0
95,110 ST-CATHEDRL,Tuesday Morning,496039435,137862860,12492.0,6434.0,18926.0
96,110 ST-CATHEDRL,Wednesday Afternoon,348089553,102399894,29743.0,13152.0,42895.0
97,110 ST-CATHEDRL,Wednesday Morning,350659054,106317086,12853.0,6956.0,19809.0
98,110 ST-CPN,Friday Afternoon,7203657693,7153618969,23966.0,18576.0,42542.0
99,110 ST-CPN,Friday Morning,7203599027,7153577730,7616.0,8347.0,15963.0
100,110 ST-CPN,Monday Afternoon,6402988086,6358551634,22151.0,17461.0,39612.0
101,110 ST-CPN,Monday Morning,7203228442,7153266407,7366.0,6948.0,14314.0
102,110 ST-CPN,Saturday Afternoon,7203137493,7153180355,17606.0,13244.0,30850.0
103,110 ST-CPN,Saturday Morning,7203099079,7153152165,2437.0,5932.0,8369.0
104,110 ST-CPN,Sunday Afternoon,7203201759,7153238102,14370.0,11621.0,25991.0
105,110 ST-CPN,Sunday Morning,7203169821,7153213097,5639.0,6964.0,12603.0
106,110 ST-CPN,Thursday Afternoon,7203564470,7153538772,23310.0,17248.0,40558.0
107,110 ST-CPN,Thursday Morning,7203505914,7153500853,7856.0,8517.0,16373.0
108,110 ST-CPN,Tuesday Afternoon,7203374818,7153380930,22850.0,17574.0,40424.0
109,110 ST-CPN,Tuesday Morning,7203316821,7153342223,7355.0,7971.0,15326.0
110,110 ST-CPN,Wednesday Afternoon,7203469769,7153460084,24369.0,18596.0,42965.0
111,110 ST-CPN,Wednesday Morning,7203408662,7153419235,7909.0,8142.0,16051.0
112,111 ST,Friday Afternoon,4123153689,2196403399,110675.0,72022.0,182697.0
113,111 ST,Friday Morning,4125961448,2198182818,87436.0,35805.0,123241.0
114,111 ST,Monday Afternoon,4375844259,2297804663,100202.0,68207.0,168409.0
115,111 ST,Monday Morning,4374020780,2299769299,73640.0,25291.0,98931.0
116,111 ST,Saturday Afternoon,4374997851,2297337468,88446.0,50973.0,139419.0
117,111 ST,Saturday Morning,4374745745,2297233534,32221.0,12702.0,44923.0
118,111 ST,Sunday Afternoon,4375336511,2297568420,75437.0,41046.0,116483.0
119,111 ST,Sunday Morning,4375143019,2297482044,34201.0,30917.0,65118.0
120,111 ST,Thursday Afternoon,4110379471,2187807999,109262.0,73820.0,183082.0
121,111 ST,Thursday Morning,4111741484,2188853927,86594.0,34459.0,121053.0
122,111 ST,Tuesday Afternoon,4124579639,2197324062,107927.0,77412.0,185339.0
123,111 ST,Tuesday Morning,4380438041,2302617016,89190.0,31426.0,120616.0
124,111 ST,Wednesday Afternoon,4125178741,2197659180,111321.0,77305.0,188626.0
125,111 ST,Wednesday Morning,4152984415,2234079476,89421.0,34109.0,123530.0
126,116 ST,Friday Afternoon,47166851636,56623145505,309256.0,169097.0,478353.0
127,116 ST,Friday Morning,47172393028,56634778865,141918.0,73425.0,215343.0
128,116 ST,Monday Afternoon,47190838039,56642687085,253153.0,141523.0,394676.0
129,116 ST,Monday Morning,47234425794,56663219898,116549.0,56864.0,173413.0
130,116 ST,Saturday Afternoon,47170127385,56622274591,227841.0,121918.0,349759.0
131,116 ST,Saturday Morning,47169610099,56622019075,36644.0,21046.0,57690.0
132,116 ST,Sunday Afternoon,53689939443,64675119506,179580.0,94133.0,273713.0
133,116 ST,Sunday Morning,47170492050,56622478798,59444.0,44331.0,103775.0
134,116 ST,Thursday Afternoon,47151216787,56611634071,298290.0,165358.0,463648.0
135,116 ST,Thursday Morning,47176648371,56632360058,143215.0,70517.0,213732.0
136,116 ST,Tuesday Afternoon,47162849670,56621260907,291321.0,165409.0,456730.0
137,116 ST,Tuesday Morning,47238766883,56682594408,143072.0,68148.0,211220.0
138,116 ST,Wednesday Afternoon,47157062017,56620628291,300198.0,166049.0,466247.0
139,116 ST,Wednesday Morning,47203961598,56645893839,148406.0,72224.0,220630.0
140,116 ST-COLUMBIA,Friday Afternoon,43694300819,9288332994,119892.0,51136.0,171028.0
141,116 ST-COLUMBIA,Friday Morning,44905606834,9545070664,29508.0,25415.0,54923.0
142,116 ST-COLUMBIA,Monday Afternoon,43692392963,9287337386,107377.0,48554.0,155931.0
143,116 ST-COLUMBIA,Monday Morning,43692179524,9287199159,18231.0,19867.0,38098.0
144,116 ST-COLUMBIA,Saturday Afternoon,43691922232,9287051238,52661.0,26349.0,79010.0
145,116 ST-COLUMBIA,Saturday Morning,43691813246,9286989420,3715.0,4660.0,8375.0
146,116 ST-COLUMBIA,Sunday Afternoon,43692105264,9287149228,45830.0,23931.0,69761.0
147,116 ST-COLUMBIA,Sunday Morning,43692008268,9287095036,11940.0,7813.0,19753.0
148,116 ST-COLUMBIA,Thursday Afternoon,43675659471,9280748130,136137.0,58234.0,194371.0
149,116 ST-COLUMBIA,Thursday Morning,43693552344,9287924993,28684.0,27636.0,56320.0
150,116 ST-COLUMBIA,Tuesday Afternoon,43692837226,9287584084,133467.0,57447.0,190914.0
151,116 ST-COLUMBIA,Tuesday Morning,44899231799,9541879226,25932.0,26453.0,52385.0
152,116 ST-COLUMBIA,Wednesday Afternoon,43693326290,9287839997,135754.0,58717.0,194471.0
153,116 ST-COLUMBIA,Wednesday Morning,43693058718,9287667109,28423.0,27013.0,55436.0
154,121 ST,Friday Afternoon,289704698,234923183,13907.0,7294.0,21201.0
155,121 ST,Friday Morning,289664147,234908346,8165.0,2915.0,11080.0
156,121 ST,Monday Afternoon,289443140,234800133,12197.0,6558.0,18755.0
157,121 ST,Monday Morning,289407522,234786921,6922.0,2228.0,9150.0
158,121 ST,Saturday Afternoon,289355985,234759398,9361.0,4408.0,13769.0
159,121 ST,Saturday Morning,289332223,234749717,2670.0,1057.0,3727.0
160,121 ST,Sunday Afternoon,289390383,234777786,7298.0,3666.0,10964.0
161,121 ST,Sunday Morning,289372331,234769909,3533.0,2260.0,5793.0
162,121 ST,Thursday Afternoon,289639271,234892852,13699.0,7294.0,20993.0
163,121 ST,Thursday Morning,289598568,234877717,8137.0,2955.0,11092.0
164,121 ST,Tuesday Afternoon,289506875,234830369,13465.0,7637.0,21102.0
165,121 ST,Tuesday Morning,340972351,275409719,8292.0,2899.0,11191.0
166,121 ST,Wednesday Afternoon,289573291,234861487,13715.0,7444.0,21159.0
167,121 ST,Wednesday Morning,297148083,240875309,8424.0,2867.0,11291.0
168,125 ST,Friday Afternoon,200680674308,110429436452,759548.0,579489.0,1339037.0
169,125 ST,Friday Morning,204688474630,112427345677,274764.0,248107.0,522871.0
170,125 ST,Monday Afternoon,205485309927,112444225417,627749.0,451315.0,1079064.0
171,125 ST,Monday Morning,211823432190,115845082785,250974.0,195439.0,446413.0
172,125 ST,Saturday Afternoon,212490887822,116275406967,517217.0,438901.0,956118.0
173,125 ST,Saturday Morning,206403111198,113739750254,88995.0,117026.0,206021.0
174,125 ST,Sunday Afternoon,207417249622,113228946249,420595.0,349837.0,770432.0
175,125 ST,Sunday Morning,212453632961,116223625995,207924.0,158731.0,366655.0
176,125 ST,Thursday Afternoon,201471869040,110799008800,748342.0,521880.0,1270222.0
177,125 ST,Thursday Morning,201493580102,110825786086,280474.0,246651.0,527125.0
178,125 ST,Tuesday Afternoon,201472007339,110798158659,733487.0,509858.0,1243345.0
179,125 ST,Tuesday Morning,203766654285,112276222157,265943.0,229173.0,495116.0
180,125 ST,Wednesday Afternoon,201474630760,110800445909,744615.0,519877.0,1264492.0
181,125 ST,Wednesday Morning,205067213696,113690298143,284176.0,250523.0,534699.0
182,135 ST,Friday Afternoon,7767175209,1487140594,186362.0,68280.0,254642.0
183,135 ST,Friday Morning,7766703014,1486974457,67331.0,37181.0,104512.0
184,135 ST,Monday Afternoon,8173900056,1528126789,158955.0,60811.0,219766.0
185,135 ST,Monday Morning,8181612504,1526529809,54824.0,29029.0,83853.0
186,135 ST,Saturday Afternoon,8163463902,1517183286,115563.0,38498.0,154061.0
187,135 ST,Saturday Morning,8172636135,1527637054,47758.0,40108.0,87866.0
188,135 ST,Sunday Afternoon,8173315650,1527890619,96692.0,32596.0,129288.0
189,135 ST,Sunday Morning,8173094061,1527818319,34594.0,21119.0,55713.0
190,135 ST,Thursday Afternoon,7689925927,1462727260,185137.0,67766.0,252903.0
191,135 ST,Thursday Morning,8178039143,1532601017,69881.0,37245.0,107126.0
192,135 ST,Tuesday Afternoon,8173986075,1528056552,185782.0,72396.0,258178.0
193,135 ST,Tuesday Morning,8202012530,1550117547,68291.0,35430.0,103721.0
194,135 ST,Wednesday Afternoon,8175425819,1528771144,193216.0,73365.0,266581.0
195,135 ST,Wednesday Morning,8193182428,1555419777,70891.0,38392.0,109283.0
196,137 ST CITY COL,Friday Afternoon,10374566597,24107640704,79429.0,69641.0,149070.0
197,137 ST CITY COL,Friday Morning,10423586051,24122304529,43420.0,36276.0,79696.0
198,137 ST CITY COL,Monday Afternoon,10373088125,24106559898,69175.0,61975.0,131150.0
199,137 ST CITY COL,Monday Morning,10372888844,24106448631,34083.0,24932.0,59015.0
